iter,buffer,beta,ei_hi,ei_lo,roll_succ,roll_len,roll_ret,critic_loss,q_mean,target_mean,actor_loss,pg_loss,bc_loss,grip_loss,aux_c,aux_a,lam,n_expert,roll_min_pos,roll_close,roll_skip,roll_miss,roll_timeout,roll_fail,exp_kept,exp_succ,eval_min_pos,eval_min_rot,eval_close,eval_miss,eval_timeout,eval_fail,q_pi,a_absmean,grip_logit,buf_pos,eval_succ,best_succ
48,20000,0.119,24,16,0.1667,29.83,0.1667,0.002322425600141287,0.19927793741226196,0.18876279890537262,0.33422142267227173,-0.09212368726730347,0.023351600393652916,0.37185269594192505,0.0019387820502743125,0.015578418970108032,1.0776124000549316,64,0.0247,0.167,2,0,5,0,8,0.75,,,,,,,0.0854887142777443,0.615799069404602,2.1444849967956543,0.0148,,0.0417
49,20000,0.1111,24,15,0.2,30.0,0.2,0.0024488093331456184,0.1539420783519745,0.16066163778305054,0.45100975036621094,-0.0954638347029686,0.031344156712293625,0.48107242584228516,0.0019414561102166772,0.0054257092997431755,0.8895179629325867,64,0.0166,0.2,3,0,4,0,8,1.0,0.1336,0.5704,0.021,0,45,2,0.1073208674788475,0.7107433080673218,2.035698413848877,0.0148,0.0208,0.0417
50,20000,0.1032,24,15,0.0,30.0,0.0,0.007623197045177221,0.21757608652114868,0.24497710168361664,0.3824819326400757,-0.09514900296926498,0.020839950069785118,0.43284106254577637,0.0022861415054649115,0.00621991790831089,1.2475448846817017,64,0.0149,0.0,2,0,3,0,11,0.909,,,,,,,0.0762690007686615,0.651655912399292,2.103538990020752,0.01485,,0.0417
51,20000,0.0952,24,15,0.0,30.0,0.0,0.001656930660828948,0.24985119700431824,0.22992858290672302,0.35159069299697876,-0.09702221304178238,0.03670753166079521,0.3727198839187622,0.0009985738433897495,0.004955900367349386,1.0823336839675903,64,0.042,0.0,4,0,4,1,7,0.714,,,,,,,0.08964169025421143,0.6174778938293457,2.1320648193359375,0.0148,,0.0417
52,20000,0.0873,24,15,0.0,30.0,0.0,0.0030758618377149105,0.18696461617946625,0.20046192407608032,0.32757437229156494,-0.08036147803068161,0.015993773937225342,0.3723445534706116,0.001243556966073811,0.007207541726529598,1.307472586631775,64,0.032,0.0,1,0,7,0,8,0.75,,,,,,,0.06146322563290596,0.6397831439971924,2.0845046043395996,0.0149,,0.0417
53,20000,0.0794,24,15,0.0,29.0,0.0,0.0036230147816240788,0.17485982179641724,0.16188858449459076,0.6862543821334839,-0.07914895564317703,0.07374763488769531,0.6149882078170776,0.0020996667444705963,0.005839666351675987,1.4922833442687988,64,0.0422,0.0,1,0,8,2,5,1.0,,,,,,,0.0530388280749321,0.705943763256073,2.0944931507110596,0.01485,,0.0417
54,20000,0.0714,24,15,0.0,30.0,0.0,0.0021174245048314333,0.19202595949172974,0.18240231275558472,0.3614044487476349,-0.09386628121137619,0.039607934653759,0.37147295475006104,0.001362274051643908,0.009163782000541687,1.145445466041565,64,0.0245,0.0,2,0,8,0,6,0.833,,,,,,,0.08194740861654282,0.6125209331512451,2.1165611743927,0.01475,,0.0417
55,20000,0.0635,24,15,0.0,30.0,0.0,0.0030251622665673494,0.1697368174791336,0.182631254196167,0.682870090007782,-0.08858411759138107,0.046910252422094345,0.6733250617980957,0.0011623894097283483,0.008617309853434563,1.1389174461364746,64,0.0447,0.0,6,0,4,1,5,0.8,,,,,,,0.07777921855449677,0.6360220909118652,2.1969218254089355,0.0146,,0.0417
56,20000,0.0556,24,15,0.0,30.0,0.0,0.0018253263551741838,0.20946267247200012,0.20005303621292114,0.3347759246826172,-0.09741595387458801,0.02796981856226921,0.3723412752151489,0.0007843277417123318,0.007821940816938877,0.8913125395774841,64,0.0276,0.0,3,0,7,0,6,1.0,0.1104,0.5427,0.0,0,44,4,0.10929493606090546,0.6630859375,2.121678590774536,0.01465,0.0,0.0417
57,20000,0.0476,24,14,0.0,30.0,0.0,0.0019957490731030703,0.22482255101203918,0.2205345332622528,0.40427878499031067,-0.0948055237531662,0.049363039433956146,0.39626556634902954,0.0012956546852365136,0.008185310289263725,1.003146767616272,64,0.0277,0.0,4,0,5,1,6,1.0,,,,,,,0.09450813382863998,0.6949484348297119,2.132314682006836,0.0149,,0.0417
